ano_eleicao,num_turno,uf,codigo_municipio,codigo_cargo,qtd_aptos,qtd_comparecimento
2006,1,AC,1007,1,5140,4297
2006,1,AC,1007,3,5140,4297
2006,1,AC,1007,5,5140,4297
2006,1,AC,1007,6,5140,4297
2006,1,AC,1007,7,5140,4297
2006,1,AC,1015,1,4983,3974
2006,1,AC,1015,3,4983,3974
2006,1,AC,1015,5,4983,3974
2006,1,AC,1015,6,4983,3974
2006,1,AC,1015,7,4983,3974
2006,1,AC,1023,1,7473,6311
2006,1,AC,1023,3,7473,6311
2006,1,AC,1023,5,7473,6311
2006,1,AC,1023,6,7473,6311
2006,1,AC,1023,7,7473,6311
2006,1,AC,1031,1,1594,1264
2006,1,AC,1031,3,1594,1264
2006,1,AC,1031,5,1594,1264
2006,1,AC,1031,6,1594,1264
2006,1,AC,1031,7,1594,1264
2006,1,AC,1040,1,6539,4989
2006,1,AC,1040,3,6539,4989
2006,1,AC,1040,5,6539,4989
2006,1,AC,1040,6,6539,4989
2006,1,AC,1040,7,6539,4989
2006,1,AC,1058,1,13674,11257
2006,1,AC,1058,3,13674,11257
2006,1,AC,1058,5,13674,11257
2006,1,AC,1058,6,13674,11257
2006,1,AC,1058,7,13674,11257
2006,1,AC,1066,1,4612,3281
2006,1,AC,1066,3,4612,3281
2006,1,AC,1066,5,4612,3281
2006,1,AC,1066,6,4612,3281
2006,1,AC,1066,7,4612,3281
2006,1,AC,1074,1,43781,32998
2006,1,AC,1074,3,43781,32998
2006,1,AC,1074,5,43781,32998
2006,1,AC,1074,6,43781,32998
2006,1,AC,1074,7,43781,32998
2006,1,AC,1082,1,7039,5219
2006,1,AC,1082,3,7039,5219
2006,1,AC,1082,5,7039,5219
2006,1,AC,1082,6,7039,5219
2006,1,AC,1082,7,7039,5219
2006,1,AC,1090,1,8366,6708
2006,1,AC,1090,3,8366,6708
2006,1,AC,1090,5,8366,6708
2006,1,AC,1090,6,8366,6708
2006,1,AC,1090,7,8366,6708
2006,1,AC,1104,1,3231,2438
2006,1,AC,1104,3,3231,2438
2006,1,AC,1104,5,3231,2438
2006,1,AC,1104,6,3231,2438
2006,1,AC,1104,7,3231,2438
2006,1,AC,1112,1,8148,6712
2006,1,AC,1112,3,8148,6712
2006,1,AC,1112,5,8148,6712
2006,1,AC,1112,6,8148,6712
2006,1,AC,1112,7,8148,6712
2006,1,AC,1120,1,7548,6139
2006,1,AC,1120,3,7548,6139
2006,1,AC,1120,5,7548,6139
2006,1,AC,1120,6,7548,6139
2006,1,AC,1120,7,7548,6139
2006,1,AC,1139,1,15049,11099
2006,1,AC,1139,3,15049,11099
2006,1,AC,1139,5,15049,11099
2006,1,AC,1139,6,15049,11099
2006,1,AC,1139,7,15049,11099
2006,1,AC,1392,1,193549,163422
2006,1,AC,1392,3,193549,163422
2006,1,AC,1392,5,193549,163422
2006,1,AC,1392,6,193549,163422
2006,1,AC,1392,7,193549,163422
2006,1,AC,1457,1,20416,16008
2006,1,AC,1457,3,20416,16008
2006,1,AC,1457,5,20416,16008
2006,1,AC,1457,6,20416,16008
2006,1,AC,1457,7,20416,16008
2006,1,AC,1473,1,18876,13895
2006,1,AC,1473,3,18876,13895
2006,1,AC,1473,5,18876,13895
2006,1,AC,1473,6,18876,13895
2006,1,AC,1473,7,18876,13895
2006,1,AC,1490,1,9628,7744
2006,1,AC,1490,3,9628,7744
2006,1,AC,1490,5,9628,7744
2006,1,AC,1490,6,9628,7744
2006,1,AC,1490,7,9628,7744
2006,1,AC,1511,1,11128,8891
2006,1,AC,1511,3,11128,8891
2006,1,AC,1511,5,11128,8891
2006,1,AC,1511,6,11128,8891
2006,1,AC,1511,7,11128,8891
2006,1,AC,1538,1,13641,10990
2006,1,AC,1538,3,13641,10990
2006,1,AC,1538,5,13641,10990
2006,1,AC,1538,6,13641,10990
2006,1,AC,1538,7,13641,10990
2006,1,AC,1554,1,4371,3312
2006,1,AC,1554,3,4371,3312
2006,1,AC,1554,5,4371,3312
2006,1,AC,1554,6,4371,3312
2006,1,AC,1554,7,4371,3312
2006,1,AC,1570,1,4054,3470
2006,1,AC,1570,3,4054,3470
2006,1,AC,1570,5,4054,3470
2006,1,AC,1570,6,4054,3470
2006,1,AC,1570,7,4054,3470
2006,1,AL,27006,1,6560,5665
2006,1,AL,27006,3,6560,5665
2006,1,AL,27006,5,6560,5665
2006,1,AL,27006,6,6560,5665
2006,1,AL,27006,7,6560,5665
2006,1,AL,27014,1,13550,10294
2006,1,AL,27014,3,13550,10294
2006,1,AL,27014,5,13550,10294
2006,1,AL,27014,6,13550,10294
2006,1,AL,27014,7,13550,10294
2006,1,AL,27022,1,7167,5538
2006,1,AL,27022,3,7167,5538
2006,1,AL,27022,5,7167,5538
2006,1,AL,27022,6,7167,5538
2006,1,AL,27022,7,7167,5538
2006,1,AL,27030,1,12769,9462
2006,1,AL,27030,3,12769,9462
2006,1,AL,27030,5,12769,9462
2006,1,AL,27030,6,12769,9462
2006,1,AL,27030,7,12769,9462
2006,1,AL,27049,1,10672,7616
2006,1,AL,27049,3,10672,7616
2006,1,AL,27049,5,10672,7616
2006,1,AL,27049,6,10672,7616
2006,1,AL,27049,7,10672,7616
2006,1,AL,27057,1,110124,92099
2006,1,AL,27057,3,110124,92099
2006,1,AL,27057,5,110124,92099
2006,1,AL,27057,6,110124,92099
2006,1,AL,27057,7,110124,92099
2006,1,AL,27065,1,7376,5771
2006,1,AL,27065,3,7376,5771
2006,1,AL,27065,5,7376,5771
2006,1,AL,27065,6,7376,5771
2006,1,AL,27065,7,7376,5771
2006,1,AL,27073,1,27003,21284
2006,1,AL,27073,3,27003,21284
2006,1,AL,27073,5,27003,21284
2006,1,AL,27073,6,27003,21284
2006,1,AL,27073,7,27003,21284
2006,1,AL,27081,1,4321,3283
2006,1,AL,27081,3,4321,3283
2006,1,AL,27081,5,4321,3283
2006,1,AL,27081,6,4321,3283
2006,1,AL,27081,7,4321,3283
2006,1,AL,27090,1,7694,6508
2006,1,AL,27090,3,7694,6508
2006,1,AL,27090,5,7694,6508
2006,1,AL,27090,6,7694,6508
2006,1,AL,27090,7,7694,6508
2006,1,AL,27111,1,4716,4075
2006,1,AL,27111,3,4716,4075
2006,1,AL,27111,5,4716,4075
2006,1,AL,27111,6,4716,4075
2006,1,AL,27111,7,4716,4075
2006,1,AL,27138,1,9944,8396
2006,1,AL,27138,3,9944,8396
2006,1,AL,27138,5,9944,8396
2006,1,AL,27138,6,9944,8396
2006,1,AL,27138,7,9944,8396
2006,1,AL,27154,1,4571,3684
2006,1,AL,27154,3,4571,3684
2006,1,AL,27154,5,4571,3684
2006,1,AL,27154,6,4571,3684
2006,1,AL,27154,7,4571,3684
2006,1,AL,27170,1,3965,3242
2006,1,AL,27170,3,3965,3242
2006,1,AL,27170,5,3965,3242
2006,1,AL,27170,6,3965,3242
2006,1,AL,27170,7,3965,3242
2006,1,AL,27197,1,18414,14578
2006,1,AL,27197,3,18414,14578
2006,1,AL,27197,5,18414,14578
2006,1,AL,27197,6,18414,14578
2006,1,AL,27197,7,18414,14578
2006,1,AL,27219,1,7048,5421
2006,1,AL,27219,3,7048,5421
2006,1,AL,27219,5,7048,5421
2006,1,AL,27219,6,7048,5421
2006,1,AL,27219,7,7048,5421
2006,1,AL,27235,1,7474,5880
2006,1,AL,27235,3,7474,5880
2006,1,AL,27235,5,7474,5880
2006,1,AL,27235,6,7474,5880
2006,1,AL,27235,7,7474,5880
2006,1,AL,27251,1,13389,10793
2006,1,AL,27251,3,13389,10793
2006,1,AL,27251,5,13389,10793
2006,1,AL,27251,6,13389,10793
2006,1,AL,27251,7,13389,10793
2006,1,AL,27278,1,20616,15811
2006,1,AL,27278,3,20616,15811
2006,1,AL,27278,5,20616,15811
2006,1,AL,27278,6,20616,15811
2006,1,AL,27278,7,20616,15811
2006,1,AL,27294,1,6599,5646
2006,1,AL,27294,3,6599,5646
2006,1,AL,27294,5,6599,5646
2006,1,AL,27294,6,6599,5646
2006,1,AL,27294,7,6599,5646
2006,1,AL,27316,1,11747,8820
2006,1,AL,27316,3,11747,8820
2006,1,AL,27316,5,11747,8820
2006,1,AL,27316,6,11747,8820
2006,1,AL,27316,7,11747,8820
2006,1,AL,27332,1,12352,9765
2006,1,AL,27332,3,12352,9765
2006,1,AL,27332,5,12352,9765
2006,1,AL,27332,6,12352,9765
2006,1,AL,27332,7,12352,9765
2006,1,AL,27359,1,4838,4024
2006,1,AL,27359,3,4838,4024
2006,1,AL,27359,5,4838,4024
2006,1,AL,27359,6,4838,4024
2006,1,AL,27359,7,4838,4024
2006,1,AL,27375,1,5240,4523
2006,1,AL,27375,3,5240,4523
2006,1,AL,27375,5,5240,4523
2006,1,AL,27375,6,5240,4523
2006,1,AL,27375,7,5240,4523
2006,1,AL,27391,1,7715,5981
2006,1,AL,27391,3,7715,5981
2006,1,AL,27391,5,7715,5981
2006,1,AL,27391,6,7715,5981
2006,1,AL,27391,7,7715,5981
2006,1,AL,27413,1,13215,10163
2006,1,AL,27413,3,13215,10163
2006,1,AL,27413,5,13215,10163
2006,1,AL,27413,6,13215,10163
2006,1,AL,27413,7,13215,10163
2006,1,AL,27430,1,3723,3180
2006,1,AL,27430,3,3723,3180
2006,1,AL,27430,5,3723,3180
2006,1,AL,27430,6,3723,3180
2006,1,AL,27430,7,3723,3180
2006,1,AL,27456,1,34573,28539
2006,1,AL,27456,3,34573,28539
2006,1,AL,27456,5,34573,28539
2006,1,AL,27456,6,34573,28539
2006,1,AL,27456,7,34573,28539
2006,1,AL,27472,1,31831,24373
2006,1,AL,27472,3,31831,24373
2006,1,AL,27472,5,31831,24373
2006,1,AL,27472,6,31831,24373
2006,1,AL,27472,7,31831,24373
2006,1,AL,27499,1,7965,6220
2006,1,AL,27499,3,7965,6220
2006,1,AL,27499,5,7965,6220
2006,1,AL,27499,6,7965,6220
2006,1,AL,27499,7,7965,6220
2006,1,AL,27510,1,13337,10981
2006,1,AL,27510,3,13337,10981
2006,1,AL,27510,5,13337,10981
