ANO_ELEICAO,SIGLA_UE,CODIGO_CARGO,QTDE_VAGAS
1998,SE,3,1
1998,SE,5,1
1998,SE,6,8
1998,SE,7,24
1998,AP,3,1
1998,AP,5,1
1998,AP,6,8
1998,AP,7,24
1998,TO,3,1
1998,TO,5,1
1998,TO,6,8
1998,TO,7,24
1998,GO,3,1
1998,GO,5,1
1998,GO,6,17
1998,GO,7,41
1998,PB,3,1
1998,PB,5,1
1998,PB,6,12
1998,PB,7,36
1998,ES,3,1
1998,ES,5,1
1998,ES,6,10
1998,ES,7,30
1998,MA,3,1
1998,MA,5,1
1998,MA,6,18
1998,MA,7,42
1998,RN,3,1
1998,RN,5,1
1998,RN,6,8
1998,RN,7,24
1998,RR,3,1
1998,RR,5,1
1998,RR,6,8
1998,RR,7,24
1998,CE,3,1
1998,CE,5,1
1998,CE,6,22
1998,CE,7,46
1998,AL,3,1
1998,AL,5,1
1998,AL,6,9
1998,AL,7,27
1998,RO,3,1
1998,RO,5,1
1998,RO,6,8
1998,RO,7,24
1998,SC,3,1
1998,SC,5,1
1998,SC,6,16
1998,SC,7,40
1998,MT,3,1
1998,MT,5,1
1998,MT,6,8
1998,MT,7,24
1998,SP,3,1
1998,SP,5,1
1998,SP,6,70
1998,SP,7,94
1998,DF,3,1
1998,DF,5,1
1998,DF,6,8
1998,DF,8,24
1998,PA,3,1
1998,PA,5,1
1998,PA,6,17
1998,PA,7,41
1998,MG,3,1
1998,MG,5,1
1998,MG,6,53
1998,MG,7,77
1998,BA,3,1
1998,BA,5,1
1998,BA,6,39
1998,BA,7,63
1998,PR,3,1
1998,PR,5,1
1998,PR,6,30
1998,PR,7,54
1998,AM,3,1
1998,AM,5,1
1998,AM,6,8
1998,AM,7,24
1998,MS,3,1
1998,MS,5,1
1998,MS,6,8
1998,MS,7,24
1998,RJ,3,1
1998,RJ,5,1
1998,RJ,6,46
1998,RJ,7,70
1998,RS,3,1
1998,RS,5,1
1998,RS,6,31
1998,RS,7,55
1998,PI,3,1
1998,PI,5,1
1998,PI,6,10
1998,PI,7,30
1998,PE,3,1
1998,PE,5,1
1998,PE,6,25
1998,PE,7,49
1998,AC,3,1
1998,AC,5,1
1998,AC,6,8
1998,AC,7,24
2002,MT,3,1
2002,MT,5,2
2002,MT,6,8
2002,MT,7,24
2002,SE,3,1
2002,SE,5,2
2002,SE,6,8
2002,SE,7,24
2002,ES,3,1
2002,ES,5,2
2002,ES,6,10
2002,ES,7,30
2002,CE,3,1
2002,CE,5,2
2002,CE,6,22
2002,CE,7,46
2002,RO,3,1
2002,RO,5,2
2002,RO,6,8
2002,RO,7,24
2002,MG,3,1
2002,MG,5,2
2002,MG,6,53
2002,MG,7,77
2002,AP,3,1
2002,AP,5,2
2002,AP,6,8
2002,AP,7,24
2002,SP,3,1
2002,SP,5,2
2002,SP,6,70
2002,SP,7,94
2002,RR,3,1
2002,RR,5,2
2002,RR,6,8
2002,RR,7,24
2002,GO,3,1
2002,GO,5,2
2002,GO,6,17
2002,GO,7,41
2002,PA,3,1
2002,PA,5,2
2002,PA,6,17
2002,PA,7,41
2002,TO,3,1
2002,TO,5,2
2002,TO,6,8
2002,TO,7,24
2002,PB,3,1
2002,PB,5,2
2002,PB,6,12
2002,PB,7,36
