ANO_ELEICAO,NUM_TURNO,SIGLA_UE,DESCRICAO_CARGO,APTOS,COMPARECIMENTO
1998,1,AC,DEPUTADO ESTADUAL,318955,239598
1998,1,AC,DEPUTADO FEDERAL,318955,239598
1998,1,AC,GOVERNADOR,318955,239598
1998,1,AC,SENADOR,318955,239598
1998,1,AL,DEPUTADO ESTADUAL,1383600,993135
1998,1,AL,DEPUTADO FEDERAL,1383600,993135
1998,1,AL,GOVERNADOR,1383600,993135
1998,1,AL,SENADOR,1383600,993135
1998,1,AM,DEPUTADO ESTADUAL,1368084,969648
1998,1,AM,DEPUTADO FEDERAL,1368084,969648
1998,1,AM,GOVERNADOR,1368084,969648
1998,1,AM,SENADOR,1368084,969648
1998,1,AP,DEPUTADO ESTADUAL,213289,184348
1998,1,AP,DEPUTADO FEDERAL,213289,184348
1998,1,AP,GOVERNADOR,213289,184348
1998,1,AP,SENADOR,213289,184348
1998,1,BA,DEPUTADO ESTADUAL,7932156,5406422
1998,1,BA,DEPUTADO FEDERAL,7932156,5406422
1998,1,BA,GOVERNADOR,7932156,5406422
1998,1,BA,SENADOR,7932156,5406422
1998,1,CE,DEPUTADO ESTADUAL,4301105,3300069
1998,1,CE,DEPUTADO FEDERAL,4301105,3300069
1998,1,CE,GOVERNADOR,4301105,3300069
1998,1,CE,SENADOR,4301105,3300069
1998,1,DF,DEPUTADO DISTRITAL,1267925,1071508
1998,1,DF,DEPUTADO FEDERAL,1267925,1071508
1998,1,DF,GOVERNADOR,1267925,1071508
1998,1,DF,SENADOR,1267925,1071508
1998,1,ES,DEPUTADO ESTADUAL,1916884,1498765
1998,1,ES,DEPUTADO FEDERAL,1916884,1498765
1998,1,ES,GOVERNADOR,1916884,1498765
1998,1,ES,SENADOR,1916884,1498765
1998,1,GO,DEPUTADO ESTADUAL,2948532,2341531
1998,1,GO,DEPUTADO FEDERAL,2948532,2341531
1998,1,GO,GOVERNADOR,2948532,2341531
1998,1,GO,SENADOR,2948532,2341531
1998,1,MA,DEPUTADO ESTADUAL,2986755,2059544
1998,1,MA,DEPUTADO FEDERAL,2986755,2059544
1998,1,MA,GOVERNADOR,2986755,2059544
1998,1,MA,SENADOR,2986755,2059544
1998,1,MG,DEPUTADO ESTADUAL,11814791,9465601
1998,1,MG,DEPUTADO FEDERAL,11814791,9465601
1998,1,MG,GOVERNADOR,11814791,9465601
1998,1,MG,SENADOR,11814791,9465601
1998,1,MS,DEPUTADO ESTADUAL,1256907,997117
1998,1,MS,DEPUTADO FEDERAL,1256907,997117
1998,1,MS,GOVERNADOR,1256907,997117
1998,1,MS,SENADOR,1256907,997117
1998,1,MT,DEPUTADO ESTADUAL,1516451,1076694
1998,1,MT,DEPUTADO FEDERAL,1516451,1076694
1998,1,MT,GOVERNADOR,1516451,1076694
1998,1,MT,SENADOR,1516451,1076694
1998,1,PA,DEPUTADO ESTADUAL,3218566,2147204
1998,1,PA,DEPUTADO FEDERAL,3218566,2147204
1998,1,PA,GOVERNADOR,3218566,2147204
1998,1,PA,SENADOR,3218566,2147204
1998,1,PB,DEPUTADO ESTADUAL,2223259,1675605
1998,1,PB,DEPUTADO FEDERAL,2223259,1675605
1998,1,PB,GOVERNADOR,2223259,1675605
1998,1,PB,SENADOR,2223259,1675605
1998,1,PE,DEPUTADO ESTADUAL,5117448,3808442
1998,1,PE,DEPUTADO FEDERAL,5117448,3808442
1998,1,PE,GOVERNADOR,5117448,3808442
1998,1,PE,SENADOR,5117448,3808442
1998,1,PI,DEPUTADO ESTADUAL,1781150,1346593
1998,1,PI,DEPUTADO FEDERAL,1781150,1346593
1998,1,PI,GOVERNADOR,1781150,1346593
1998,1,PI,SENADOR,1781150,1346593
1998,1,PR,DEPUTADO ESTADUAL,6384210,5035699
