ANO_ELEICAO,NUM_TURNO,CODIGO_MUNICIPIO,DESCRICAO_CARGO,CODIGO_CARGO,QTD_APTOS,QTD_COMPARECIMENTO
2002,1,58009,DEPUTADO ESTADUAL,7,10856,9127
2002,1,58009,DEPUTADO FEDERAL,6,10856,9127
2002,1,58009,GOVERNADOR,3,10856,9127
2002,1,58009,SENADOR,5,10856,9127
2002,1,58017,DEPUTADO ESTADUAL,7,82486,70465
2002,1,58017,DEPUTADO FEDERAL,6,82486,70465
2002,1,58017,GOVERNADOR,3,82486,70465
2002,1,58017,SENADOR,5,82486,70465
2002,1,58025,DEPUTADO ESTADUAL,7,7404,6487
2002,1,58025,DEPUTADO FEDERAL,6,7404,6487
2002,1,58025,GOVERNADOR,3,7404,6487
2002,1,58025,SENADOR,5,7404,6487
2002,1,58033,DEPUTADO ESTADUAL,7,60088,49773
2002,1,58033,DEPUTADO FEDERAL,6,60088,49773
2002,1,58033,GOVERNADOR,3,60088,49773
2002,1,58033,SENADOR,5,60088,49773
2002,1,58041,DEPUTADO ESTADUAL,7,248385,213868
2002,1,58041,DEPUTADO FEDERAL,6,248385,213868
2002,1,58041,GOVERNADOR,3,248385,213868
2002,1,58041,SENADOR,5,248385,213868
2002,1,58050,DEPUTADO ESTADUAL,7,63947,56276
2002,1,58050,DEPUTADO FEDERAL,6,63947,56276
2002,1,58050,GOVERNADOR,3,63947,56276
2002,1,58050,SENADOR,5,63947,56276
2002,1,58068,DEPUTADO ESTADUAL,7,10817,8531
2002,1,58068,DEPUTADO FEDERAL,6,10817,8531
2002,1,58068,GOVERNADOR,3,10817,8531
2002,1,58068,SENADOR,5,10817,8531
2002,1,58076,DEPUTADO ESTADUAL,7,116488,102402
2002,1,58076,DEPUTADO FEDERAL,6,116488,102402
2002,1,58076,GOVERNADOR,3,116488,102402
2002,1,58076,SENADOR,5,116488,102402
2002,1,58084,DEPUTADO ESTADUAL,7,6572,5495
2002,1,58084,DEPUTADO FEDERAL,6,6572,5495
2002,1,58084,GOVERNADOR,3,6572,5495
2002,1,58084,SENADOR,5,6572,5495
2002,1,58092,DEPUTADO ESTADUAL,7,17710,14970
2002,1,58092,DEPUTADO FEDERAL,6,17710,14970
2002,1,58092,GOVERNADOR,3,17710,14970
2002,1,58092,SENADOR,5,17710,14970
2002,1,58106,DEPUTADO ESTADUAL,7,26378,22151
2002,1,58106,DEPUTADO FEDERAL,6,26378,22151
